variant_id,is_main,equiv_main_variant_id,join_stop_id,disjoin_stop_id
724973,1,,,
724974,1,,,
725688,1,,,
725689,1,,,
733519,1,,,
733520,1,,,
733521,0,752400,,1012
733522,0,752400,,
737308,1,,,
737309,1,,,
737310,1,,,
737311,1,,,
737312,1,,,
737313,1,,,
737314,1,,,
737315,1,,,
737316,1,,,
737317,1,,,
737318,1,,,
737319,1,,,
737320,1,,,
737321,1,,,
737322,1,,,
737323,1,,,
737324,0,,,
737325,0,,,
737327,0,,,
737328,0,,,
737332,0,,,
737333,0,,,
737334,0,,,
737335,0,,,
737337,0,,,
737338,0,,,
737339,0,,,
737340,0,,,
737341,0,,,
737343,0,,,
737344,0,,,
737345,0,,,
737346,0,,,
737348,0,,,
737350,0,,,
737351,0,,,
737352,0,,,
737353,0,,,
737354,0,,,
737356,0,,,
737357,0,,,
737358,0,,,
737360,0,,,
737362,0,,,
737363,0,,,
737364,0,,,
737365,0,,,
737366,0,,,
737367,0,,,
737368,0,,,
737370,0,,,
737371,0,,,
737372,0,,,
737373,0,,,
737374,1,,,
737376,1,,,
737377,1,,,
737378,1,,,
737379,1,,,
737380,1,,,
737381,1,,,
737382,1,,,
737384,1,,,
737385,1,,,
737386,1,,,
737387,1,,,
737389,0,,,
737390,0,,,
737391,0,,,
737393,0,,,
737394,0,,,
737396,0,,,
737398,0,,,
737399,0,,,
737400,0,,,
737401,0,,,
737403,0,,,
737404,0,,,
737406,0,,,
737411,0,,,
737412,0,,,
737413,0,,,
737414,0,,,
737415,0,,,
737420,0,,,
737423,0,,,
737424,0,,,
737425,0,,,
737426,0,,,
737431,0,,,
737434,0,,,
738830,1,,,
738831,1,,,
738832,1,,,
738833,1,,,
738835,0,,,
738837,0,,,
738838,0,,,
738839,0,,,
739529,1,,,
739530,1,,,
739531,1,,,
739532,1,,,
739533,0,,,
739535,0,,,
739536,0,,,
746239,1,,,
746240,1,,,
746241,1,,,
746242,1,,,
746243,1,,,
746244,1,,,
746245,1,,,
746247,1,,,
746248,1,,,
746249,1,,,
746250,1,,,
746251,1,,,
746252,1,,,
746253,1,,,
746254,1,,,
746255,0,,,
746256,0,,,
746257,0,,,
746258,0,,,
746260,0,,,
746262,0,,,
746263,0,,,
746265,0,,,
746266,0,,,
746268,0,,,
746269,0,,,
746271,0,,,
746272,0,,,
746273,0,,,
746275,0,,,
746276,0,,,
746277,0,,,
746278,0,,,
746279,0,,,
746280,0,,,
746281,0,,,
746282,0,,,
746284,0,,,
746285,0,,,
746286,0,,,
746287,0,,,
746288,0,,,
746289,0,,,
746290,0,,,
746291,0,,,
746292,0,,,
746293,0,,,
746294,0,,,
746295,0,,,
746296,0,,,
746297,0,,,
746298,0,,,
746299,0,,,
746300,0,,,
746302,0,,,
746303,0,,,
746304,0,,,
746305,0,,,
746306,0,,,
746307,0,,,
746308,0,,,
746309,0,,,
746310,0,,,
746312,0,,,
746314,0,,,
746316,0,,,
746317,0,,,
746322,0,,,
746324,0,,,
746326,0,,,
746328,0,,,
746329,0,,,
746330,0,,,
746331,0,,,
746332,0,,,
746333,0,,,
746337,0,,,
746338,0,,,
746339,0,,,
746340,0,,,
746342,0,,,
746343,0,,,
746344,0,,,
746345,0,,,
746346,0,,,
746347,0,,,
746348,0,,,
746349,0,,,
746350,1,,,
746351,1,,,
746354,1,,,
746355,1,,,
746356,1,,,
746358,1,,,
746359,1,,,
746360,1,,,
746361,1,,,
746362,1,,,
746363,1,,,
746364,0,,,
746365,0,,,
746369,0,,,
746370,0,,,
746374,0,,,
746375,0,,,
746379,0,,,
746380,0,,,
746383,0,,,
746384,0,,,
746387,0,,,
746389,0,,,
746390,0,,,
746393,0,,,
746394,0,,,
746396,0,,,
746398,0,,,
746419,0,,,
746420,0,,,
746423,0,,,
746424,0,,,
746429,0,,,
746430,0,,,
746432,0,,,
746434,0,,,
746436,0,,,
746438,0,,,
746439,0,,,
746444,0,,,
746445,0,,,
746447,0,,,
746450,0,,,
752399,1,,,
752400,1,,,
752401,1,,,
752402,1,,,
752403,0,752399,,3460
752404,0,752400,,1012
752405,0,752400,,815
752406,0,752400,,1142
752407,0,752400,1248,
752408,0,752399,964,
752409,1,,,
752410,1,,,
752414,0,,,
752416,0,,,
753048,1,,,
753049,1,,,
753050,1,,,
753051,1,,,
753052,1,,,
753053,1,,,
753054,1,,,
753055,1,,,
753056,1,,,
753057,1,,,
753058,1,,,
753059,1,,,
753060,1,,,
753061,1,,,
753062,1,,,
753063,1,,,
753064,1,,,
753065,1,,,
753066,1,,,
753067,1,,,
753068,1,,,
753069,1,,,
753070,1,,,
753071,1,,,
753072,1,,,
753073,1,,,
753074,1,,,
753075,1,,,
753076,1,,,
753077,1,,,
753078,1,,,
753079,1,,,
753080,1,,,
753081,1,,,
753082,1,,,
753083,1,,,
753084,1,,,
753085,1,,,
753086,1,,,
753087,1,,,
753088,1,,,
753089,1,,,
753090,0,,,
753091,0,,,
753092,0,,,
753093,0,,,
753095,0,,,
753097,0,752400,,
753098,0,752400,,
753099,0,752399,,
753100,0,752399,,
753101,0,752399,,
753102,0,,,
753105,0,,,
753106,0,,,
753110,0,752399,,
753111,0,752400,,
753114,0,,,
753118,0,752399,,
753119,0,752399,,
753121,0,,,
753123,0,,,
753126,0,752400,,
753127,0,752399,,
753129,0,752400,,
753132,0,,,
753133,0,,,
753134,0,752399,,
753135,0,,,
753136,0,752400,,
753138,0,752400,,
753140,0,752399,,
753143,0,,,
753144,0,752399,,
753145,0,752400,,
753147,0,752400,,
753148,0,,,
753149,0,752399,,
753150,0,752399,,
753151,0,752399,,
753152,0,752399,,
753154,0,752400,,
753155,0,752400,,
753157,0,752399,,
753158,0,752399,,
753160,0,752399,,
753161,0,752400,,
753162,0,752399,,
753163,0,752400,,
753164,0,752399,,
753165,0,752400,,
753166,0,,,
753167,0,752400,,
753168,0,,,
753169,0,752399,,
753170,0,752399,,
753171,0,752400,,
753172,0,752400,,
753173,0,752400,,
753174,0,752399,,
753175,0,752399,,
753177,0,,,
753179,0,,,
753180,0,,,
753183,0,752400,,
753184,0,,,
753186,0,,,
753187,0,,,
753188,0,752400,,
753189,0,,,
753192,0,752400,,
753193,0,,,
753194,0,752399,,
753195,0,752399,,
753196,0,752400,,
753197,0,,,
753198,0,752399,,
753200,0,752400,,
753201,0,752399,,
753202,0,,,
753203,0,,,
753204,0,,,
753206,0,752399,,
753208,0,752400,,
753210,0,752399,,
753212,0,752400,,
753214,0,,,
753215,0,,,
753216,0,752400,,
753218,0,752399,,
753220,0,752400,,
753221,0,752400,,
753222,0,,,
753223,0,752399,,
753224,0,752400,,
753225,0,752399,,
753226,0,,,
753227,0,,,
753228,0,752399,,
753229,0,752399,,
753231,0,752400,,
753232,0,752399,,
753233,0,752399,,
753234,0,752400,,
753235,0,752399,,
753237,0,,,
753238,0,,,
753239,0,752400,,
753240,0,752399,,
753241,0,752399,,
753242,0,752400,,
753243,0,752399,,
753244,0,,,
753246,0,,,
753248,0,752399,,
753249,0,752400,,
753250,0,,,
753251,0,,,
753253,0,,,
753254,0,752399,,
753255,0,,,
753256,0,,,
753257,0,,,
753258,0,,,
753259,0,,,
753260,0,,,
753261,0,752400,,
753262,0,752400,,
753263,0,,,
753264,0,752399,,
753266,0,,,
753267,0,,,
753268,0,752400,,
753269,0,752400,,
753270,0,,,
753271,0,752399,,
753272,0,,,
753273,0,,,
753274,0,752400,,
753275,0,752399,,
753276,0,752400,,
753277,0,,,
753278,0,752400,,
753279,0,752400,,
753280,0,752399,,
753281,0,752399,,
753283,0,752400,,
753285,0,,,
753286,0,,,
753287,0,,,
753288,0,752400,,
753289,0,752399,,
753291,0,752400,,
753292,0,752400,,
753293,0,,,
753294,0,752399,,
753295,0,752399,,
753296,0,752399,,
753298,0,752399,,
753299,0,752400,,
753300,0,752400,,
753301,0,,,
753302,0,752400,,
753305,0,752400,,
753306,0,752400,,
753308,0,,,
753309,0,752400,,
753310,0,,,
753311,0,752400,,
753312,0,752399,,
753314,0,752399,,
753315,0,,,
753317,0,752399,,
753318,0,752400,,
753319,0,,,
753320,0,752399,,
753321,0,752400,,
753322,0,752400,,
753323,0,752399,,
753324,0,752400,,
753326,0,752400,,
753327,0,,,
753328,0,752399,,
753329,0,752399,,
753331,0,,,
753332,0,,,
753333,0,752399,,
753334,0,,,
753336,0,752400,,
753337,0,,,
753338,0,,,
753339,0,,,
753340,0,,,
753341,0,752400,,
753342,0,752399,,
753343,0,752399,,
753344,0,752400,,
753345,0,752400,,
753346,0,752399,,
753347,0,,,
753348,0,752400,,
753349,0,752399,,
753351,0,,,
753352,0,,,
753353,0,,,
753354,0,752400,,
753356,0,752399,,
753357,0,752399,,
753358,0,752399,,
753359,0,,,
753360,0,752400,,
753361,0,752400,,
753362,0,752400,,
753363,0,752399,,
753365,0,752399,,
753367,0,,,
753368,0,,,
753369,0,,,
753370,0,752400,,
753528,1,,,
753529,1,,,
753530,1,,,
753531,1,,,
753532,1,,,
753533,1,,,
753534,1,,,
753535,1,,,
753536,1,,,
753537,1,,,
753538,1,,,
753539,1,,,
753540,1,,,
753541,1,,,
753542,1,,,
753543,1,,,
753544,1,,,
753545,1,,,
753546,1,,,
753547,1,,,
753548,1,,,
753549,1,,,
753550,1,,,
753551,1,,,
753552,1,,,
753553,1,,,
753554,1,,,
753555,1,,,
753556,1,,,
753557,1,,,
753558,1,,,
753559,1,,,
753560,1,,,
753561,1,,,
753562,1,,,
753563,1,,,
753564,1,,,
753565,1,,,
753566,1,,,
753567,1,,,
753568,1,,,
753569,1,,,
753570,1,,,
753571,1,,,
753572,1,,,
753573,1,,,
753574,1,,,
753575,1,,,
753576,1,,,
753577,1,,,
753578,1,,,
753579,1,,,
753580,1,,,
753581,1,,,
753582,1,,,
753583,1,,,
753584,1,,,
753585,1,,,
753586,1,,,
753587,1,,,
753588,1,,,
753589,1,,,
753590,1,,,
753591,1,,,
753592,1,,,
753593,1,,,
753594,1,,,
753595,1,,,
753596,1,,,
753597,1,,,
753598,1,,,
753599,1,,,
753600,1,,,
753601,1,,,
753602,1,,,
753603,1,,,
753604,1,,,
753605,1,,,
753606,1,,,
753607,1,,,
753608,1,,,
753609,1,,,
753610,1,,,
753611,1,,,
753612,1,,,
753613,1,,,
753614,1,,,
753615,1,,,
753616,1,,,
753617,1,,,
753618,1,,,
753619,1,,,
753620,1,,,
753621,1,,,
753622,0,,,
753623,0,,,
753624,0,752399,,
753625,0,752400,,
753626,0,,,
753627,0,752400,1248,
753628,0,752399,,
753629,0,,,
753630,0,752400,1248,
753631,0,752399,,
753632,0,752399,,
753633,0,752400,,
753634,0,,,
753638,0,752399,1819,
753639,0,,,
753640,0,,,
753641,0,,,
753642,0,,,
753643,0,,,
753644,0,752400,,
753645,0,,,
753646,0,752399,,
753647,0,752400,,1012
753648,0,752400,,1012
753649,0,752400,,1012
753650,0,752400,,1012
753651,0,752399,,
753652,0,752399,,
753653,0,752399,,
753654,0,,,
753657,0,,,
753658,0,,,
753659,0,,,
753660,0,,,
753661,0,,,
753662,0,752400,,
753663,0,752399,209,
753667,0,752400,,1142
753668,0,,,
753670,0,752399,,
753672,0,,,
753674,0,752399,,
753676,0,,,
753677,0,,,
753678,0,,,
753679,0,,,
753680,0,,,
753681,0,,,
753682,0,,,
753683,0,,,
753684,0,,,
753685,0,,,
753686,0,,,
753687,0,,,
753688,0,752400,,
753690,0,752400,,
753691,0,752399,,
753692,0,752399,,
753693,0,752400,,
753694,0,752400,,
753695,0,,,
753696,0,,,
753697,0,,,
753698,0,752400,,
753699,0,,,
753700,0,752399,,
753701,0,752400,,
753702,0,752399,,
753703,0,,,
753705,0,,,
753706,0,,,
753707,0,,,
753708,0,,,
753709,0,752400,,205
753710,0,,,
753711,0,,,
753712,0,752399,,
753713,0,752399,,
753714,0,752399,,
753715,0,752399,,
753716,0,752400,,
753717,0,752399,,
753718,0,,,
753719,0,,,
753720,0,,,
753721,0,,,
753722,0,,,
753723,0,,,
753724,0,,,
753725,0,,,
753726,0,,,
753727,0,,,
753728,0,752400,,1142
753730,0,752399,,
753731,0,752399,,
753732,0,752400,,
753733,0,,,
753734,0,,,
753736,0,,,
753737,0,,,
753739,0,,,
753740,0,752399,,
753741,0,752399,,
753742,0,752399,198,
753743,0,752400,,
753746,0,752399,,
753747,0,752400,,205
753748,0,752400,,205
753749,0,752399,,
753750,0,,,
753751,0,752399,,
753752,0,752399,,
753753,0,,,
753754,0,752400,,
753755,0,752400,,
753756,0,,,
753757,0,,,
753758,0,,,
